Type,Content
Scene Heading,INT. EVE'S HOTEL APARTMENT - NIGHT
Action,"A small foyer, from which one door leads to the leaving room, another to the bedroom. The bedroom and living room do not connect except through the foyer."
Action,"All the lights are out. Eve turns them on in the foyer, the same as she enters the bedroom. There are some new trunks, in various stages of being packed. Eve tosses her wrap on the bed, goes through the foyer to the living room."
Action,"She turns on the light in the living room. CAMERA FOLLOWS her to a smart small bar where she fixes a stiff drink. As she turns from the bar, she stares - starts in fright - and drops the drink."
Action,"A young girl, asleep in a chair, wakes with a jump. She stares at Eve, horror-stricken."
Character,EVE
Dialogue,Who are you?
Character,GIRL
Dialogue,Miss Harrington...
Character,EVE
Dialogue,What are you doing here?
Character,GIRL
Dialogue,I - I guess I fell asleep.
Action,Eve starts for the phone. The girl rises in panic.
Character,GIRL
Dialogue,"Please don't have me arrested, please! I didn't steal anything - you can search me!"
Character,EVE
Parenthetical,(pauses)
Dialogue,How did you get in here?
Character,GIRL
Dialogue,"I hid outside in the hall till the maid came to turn down your bed. She must've forgot something and when she went to get it, she left the door open. I sneaked in and hid till she finished. Then I just looked around - and pretty soon I was afraid somebody'd notice the lights were on so I turned them off - and then I guess, I fell asleep."
Character,EVE
Dialogue,You were just looking around...
Character,GIRL
Dialogue,That's all.
Character,EVE
Dialogue,What for?
Character,GIRL
Dialogue,You probably won't believe me.
Character,EVE
Dialogue,Probably not.
Character,GIRL
Dialogue,It was for my report.
Character,EVE
Dialogue,What report? To whom?
Character,GIRL
Dialogue,"About how you live, what kind of clothes you wear - what kind of perfume and books - things like that. You know the Eve Harrington clubs - that they've got in most of the girls' high schools?"
Character,EVE
Dialogue,I've heard of them.
Character,GIRL
Dialogue,"Ours was one of the first. Erasmus Hall. I'm the president."
Character,EVE
Dialogue,"Erasmus Hall. That's in Brooklyn, isn't it?"
Character,GIRL
Dialogue,"Lots of actresses come from Brooklyn. Barbara Stanwyck, Susan Hayward - of course, they're just movie stars."
Action,Eve makes no comment. She lies wearily on the couch.
Character,GIRL
Dialogue,You're going to Hollywood - aren't you?
Parenthetical,(Eve murmurs ""uh-huh"")
Dialogue,"From the trunks you're packing, you must be going to stay a long time."
Character,EVE
Dialogue,I might.
Character,GIRL
Dialogue,That spilled drink is going to ruin your carper.
Action,She crosses to it.
Character,EVE
Dialogue,The maid'll fix it in the morning.
Character,GIRL
Dialogue,I'll just pick up the broken glass.
Character,EVE
Dialogue,Don't bother.
Action,The girl puts the broken glass on the bar. She starts to mix Eve a fresh drink.
Character,EVE
Dialogue,How'd you get all the way up here from Brooklyn?
Character,GIRL
Dialogue,Subway.
Character,EVE
Dialogue,How long does it take?
Character,GIRL
Dialogue,"With changing and everything, a little over an hour."
Action,She carries the drink over to Eve.
Character,EVE
Dialogue,It's after one now. You won't get home till all hours.
Character,GIRL
Parenthetical,(smiles)
Dialogue,I don't care if I never get home.
Action,The door buzzer sounds.
Character,EVE
Dialogue,That's the door.
Character,GIRL
Dialogue,You rest. I'll get it...
Action,"She goes to the door, opens it. Addison stands there, the Sarah Siddons Award in his hands."
Character,ADDISON
Dialogue,"Hello, there. Who are you?"
Character,GIRL
Parenthetical,(shyly)
Dialogue,"Miss Harrington's resting, Mr. deWitt. She asked me to see who it is..."
Character,ADDISON
Dialogue,We won't disturb her rest. It seems she left her award in the taxicab. Will you give it to her?
Action,She holds it as if it were the Promised Land. Addison smiles faintly. He knows the look.
Character,ADDISON
Dialogue,How do you know my name?
Character,GIRL
Dialogue,"It's a very famous name, Mr. deWitt."
Character,ADDISON
Dialogue,And what is your name?
Character,GIRL
Dialogue,Phoebe.
Character,ADDISON
Dialogue,Phoebe?
Character,GIRL
Parenthetical,(stubbornly)
Dialogue,I call myself Phoebe.
Character,ADDISON
Dialogue,Why not? Tell me, Phoebe, do you want some day to have an award like that of your own?
Action,Phoebe lifts her eyes to him.
Character,PHOEBE
Dialogue,More than anything else in the world.
Action,Addison pats her shoulder lightly.
Character,ADDISON
Dialogue,Then you must Miss Harrington how to get one. Miss Harrington knows all about it...
Action,Phoebe smiles shyly. Addison closes the door. Phoebe stares down at the award for an instant.
Character,EVE'S VOICE
Parenthetical,"(sleepy; from the living room)"
Dialogue,Who was it?
Character,PHOEBE
Dialogue,"Just a taxi driver, Miss Harrington. You left the award in his cab and he brought it back..."
Character,EVE'S VOICE
Dialogue,"Oh. Put it on one of the trunks, will you? I want to pack it..."
Character,PHOEBE
Dialogue,"Sure, Miss Harrington..."
Action,"She takes the award into the bedroom, sets it on a trunk. As she starts out, she sees Eve's fabulous wrap on the bed. She listens. Then, quietly, she puts on the wrap and picks up the award."
Action,"Slowly, she walks to a large three-mirrored cheval. With grace and infinite dignity she holds the award to her, and bows again and again... as if to the applause of a multitude."
Transition,FADE OUT.
